image_id,label,tags,fmt,sel,sel_kind,sel_src,in_p1,in_p2,n_p1,n_p2,p1,p2,kinds,ocr,sec,two,et,file,pred,long,strat,stage
000067,2025-12-19,,YYYY.MM.DD,NONE,,,False,False,0,0,,,,271 - 2 || 42 || 0  12150P || 42 || o  3 50g || . || 2 || 42 || 0  5250g ||  - || V || - ||  42 || 0   5250g || - || 171 || 42 || 0  5250g || D A || - - || C || 42 || 0  50,9.0,False,NONE,000067.jpg,NONE,5712,large,D 후보 없음(미검출/전부 미인식)
000085,2026-03-30,,YYYY.MM.DD,2026-09-30,YYYY,p2,False,False,1,1,2026-09-30,2026-09-30,YYYY,OU || LE20 ma 1   030g 0mg0  X090  012 E34 6  EHAOE || 2XAE080-02 6060 ||  X  E || 2026.09.30,1.2,False,월/일틀림,000085.jpg,2026-09-30,4032,large,C 후보는 있는데 전부 오답(오독)
000106,NONE-10-20,,MM.DD,NONE,,,False,False,0,0,,,,NO H 2 Brand AWITICH || YOGURT Lou 450 gl SOHECAON TOONC  OE S Plain 10.201357 rugas  9715  H || 2 580 || FELNMILA || NO H Brand AHITICH ||  A || YOGUAT Lov 450gl OERIAO TOONE  000t Plain 2 19.:20 135X Jugar ba o   8715  01.740  || 2 580 || ENILAU || No E Brrand AHITHCH ||   || YOGURT lovu 450 gl SO,13.9,False,NONE,000106.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000110,2025-10-29,,YY.MM.DD,NONE,,,False,False,0,0,,,,CHI || 25.10.297XI || o ICE Ham PORK CK || EIR || CHIIE || 25.10.2977KI ||  Ham INIENA ICE PORK CK ||  || E ||  || 25.10.2977XI || O Ham ELDENA ICE PORK CK ||  ||  || 25.10.2977XI || oMSL ICE Ham  PORK CK || CHIe || 25.10.2977XI || O ICE Ham ADERA PORK CK || H || 25.10.297XI || o ICE Ham PORK CK || ,10.2,False,NONE,000110.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000118,2026-03-23,,YYYY.MM.DD,2026-05-25,YYYY,p2,True,False,1,1,2026-03-23,2026-05-25,YYYY,08:54 F F2 || 2026.03.23m1 || 02:16 0 F2 || rand,0.7,False,월/일틀림,000118.jpg,2026-05-25,4032,large,B 1패스엔 있었는데 2패스가 지움
000122,2027-04-28,,YYYY.MM.DD,2027-04-NONE,YYMM,p1@1024,False,False,1,1,2027-04-NONE,2027-04-NONE,YYMM,N C  CA C  A || A   C  C S || 27.04,1.8,False,일만틀림,000122.jpg,2027-04-NONE,4032,large,C 후보는 있는데 전부 오답(오독)
000157,2027-07-08,t,DD.MM.YYYY,NONE,,,False,False,0,0,,,,1904 ||  || 0SS 2021 || 1 || 904,7.8,False,NONE,000157.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000159,2027-01-08,,YYYY.MM.DD,2027-01-01,YYYY,p2,True,False,1,1,2027-01-08,2027-01-01,YYYY,1399 B4 AL 40 a MATSUL   ||  || 0   XH8:99 Ca ||   || S LODER  ||  || 7 1 || 4 4 || Et 1399 B40640 0 ||  || MATSUL || 24717 47174 || X N CA ||  CCAA   X8999 || OuTE || IE  OTHER :LDPE || 2027. 1. 08.21 || O 7 D,2.9,False,일만틀림,000159.jpg,2027-01-01,4032,large,B 1패스엔 있었는데 2패스가 지움
000160,2026-10-27,2,YYYY.MM.DD,2025-04-02,YYYY,p2,False,False,1,1,2025-04-28,2025-04-02,YYYY,EXP:2026/102 R0:2025/04/28 ||  78,0.7,True,전부틀림,000160.jpg,2025-04-02,4032,large,C 후보는 있는데 전부 오답(오독)
000166,2027-08-18,,YYYY.MM.DD,2027-08-NONE,YYYYMM,erode2/p1@640,False,False,1,1,2027-08-NONE,2027-08-NONE,YYYYMM,HEA R OO || 20220. 18 ||  || A08 || BEAR 080 || 20227 0-10 || X0 || EARE NO || 302  1 || HEAR OMAO || 2027.08. || ,3.4,False,일만틀림,000166.jpg,2027-08-NONE,4032,large,C 후보는 있는데 전부 오답(오독)
000179,2026-06-29,2,YYYY.MM.DD,2025-09-30,YMD_GLUED,p2,True,False,2,2,2025-09-30;2026-06-29,2025-09-30,YMD_GLUED, || 2 || loce || 2025.09.30 2026.06.29 B4 1   || K0 1OR C || 2,1.4,True,전부틀림,000179.jpg,2025-09-30,4032,large,B 1패스엔 있었는데 2패스가 지움
000184,2027-11-19,,DD.MM.YYYY,2027-11-01,DMY4,p2,True,False,1,1,2027-11-19,2027-11-01,DMY4,1.75 || 4 280 OH || 19 11 2027 19MZR2 O 7-9  || DIVELLA  C A || .206 P AS 32,1.6,False,일만틀림,000184.jpg,2027-11-01,4032,large,B 1패스엔 있었는데 2패스가 지움
000191,2026-06-15,,YYYY.MM.DD,NONE,,,False,False,0,0,,,,C S28 || Sl    || 1 202   XH 15DIRIA ||  || EDE || E3012220 || 72 Z0ATM  A  || 2/71 O Oe 15DERIA || AEN 002389 || EUPI || een || EDHE || BEBOZ2IO || 129 OTMA A ||  2026 Oe 15DITIA || SAEM 00389 || EUFAL || 74 || 7 1 15DIRIA ||  || en || EDE || 2 || 12220 || 739 7A8  ||  20 06 XH 15DIXIA ||  || EUTI ,10.6,False,NONE,000191.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000192,2026-06-24,,YYYY.MM.DD,2024-06-01,SP_DMY,p1@640,False,False,1,1,2024-06-01,2024-06-01,SP_DMY,HEORED n ||  || CAREREE Tue  2 382802220 OOD || 124 37 97458 8  || 01 e  06 24 DI AID TH ||  508 kc || 0350 ||   30 0g8 22809,1.2,False,전부틀림,000192.jpg,2024-06-01,4032,large,C 후보는 있는데 전부 오답(오독)
000193,2026-03-06,,YYYY.MM.DD,2026-03-08,YMD_GLUED,erode3/p1@1024,False,False,1,1,2026-03-08,2026-03-08,YMD_GLUED,Bolo || DR   AMD1E 202600 SOIS MELZ || 27H OA0H 50 || Bol || SOIS 3S4IZ || Ae 202.0306 Nae || 27H O0H 50 || Bolo || EOIS BRHIS || A 2020  || 27H OFH 150 || Bolo || AMV 202600 LME WAS SOIS MELS ifee || 27H OA0H 5 || Bol ||  SOIS 224I2 || ANI0 202.0308 Ad  || 27H 0 50 || Bolo || 202600 snt AB SOIS MRL,6.8,False,일만틀림,000193.jpg,2026-03-08,4032,large,C 후보는 있는데 전부 오답(오독)
000198,2026-05-08,,YYYY.MM.DD,2022-12-15,SP_DMY,p1@640,False,False,1,1,2022-12-15,2022-12-15,SP_DMY,2248180 || 3 980 2712 100g26219 || LH88 || 245 kcal || Omg 40 13 || 9g 9  X 16g 30  || E2HAX  0.59 6g 40  || 45m 15  12 22  || 09 S || S TOOW OA || N A 0E10ES 4 B8 || P ||  20Y O8  || 18 || 2431 OTHER HDHWE   0 199,1.8,False,전부틀림,000198.jpg,2022-12-15,4032,large,C 후보는 있는데 전부 오답(오독)
000200,2027-07-14,,YYYY.MM.DD,2021-07-NONE,YYMM,fullres/p1@1024,False,False,1,1,2021-07-NONE,2021-07-NONE,YYMM,71 2 || 731  100g || 2 380 || 13:34 21B  || 5713121209 OTOKI CURRY MILD   11969471 200   || HE 88 2122112 10  287247 1082760274870   84 ||  x1 IA  || S3E tAls. xig 4.3g 7139211 RUAIS 5t4 5g 3 || L2t i L171311 Z242 E || 4731  100g || 2 380 || 2037397221BN || 71319 OTOKI CURRY MILD   6471  20 || 92 OO,7.3,False,전부틀림,000200.jpg,2021-07-NONE,4032,large,C 후보는 있는데 전부 오답(오독)
000203,2026-07-01,,YYYY.MM.DD,2026-07-08,YYYY,erode3/p1@640,False,False,1,1,2026-07-08,2026-07-08,YYYY,NEE  210 2  / 22 07  150 k  MODE MRES  27 LIgE   o OTHER  C464 201 g 150 kcal  150. 78422 EqLE E    14-38.22 15.9 941 38182580 2026 B3 8801005 200257 IDI 827 427.3 E2CO1E58-7 ACH  La-202a E0EO || 200108182580 LETT o Hi    22 07 80   g407  7g13   HACCP LH8E180 0107 98 150 7 573432 g 150 kcal T  EqLE ,9.4,False,일만틀림,000203.jpg,2026-07-08,4032,large,C 후보는 있는데 전부 오답(오독)
000208,2026-04-13,,MM.DD.YYYY,NONE,,,False,False,0,0,,,, ||  MONTH.DAY YEAR  BESTIF USED BY ht-lcuseFoods JAVACURRY E || 4.13.2026/B-V HOT  0 ||  A || MONTH:DAY YEAR  BEST IF USED BY 64-louseFoods JAVA CURRY SD || 4.13.2026/B-V HOT ||   ||  MA || ONTH DAY YEAR BEST IF USED BY R  hibueT-ds JAVAC ACURRY E || 4.13.2026/B-V HOT ||  || S || BEST IF USED BY  M,11.1,False,NONE,000208.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000209,2027-06-11,,YYYY.MM.DD,2027-06-10,YYYY,p1@640,False,False,1,1,2027-06-10,2027-06-10,YYYY,0 Ho He || H LH9  X ||   0802431  a 1 415kcal H H  219  31  19  18  2027.06 1o0s OKitchen 25t 11 J ww.okithen .cokro NI  27 || 3  || 0   7 H  ||  ,3.8,False,일만틀림,000209.jpg,2027-06-10,4032,large,C 후보는 있는데 전부 오답(오독)
000210,2027-05-20,,YYYY.MM.DD,2031-05-07,SP_DMY,p1@640,False,False,1,1,2031-05-07,2031-05-07,SP_DMY, oo 2980 2 980 A || 78 7 5 31 || 471,0.6,False,전부틀림,000210.jpg,2031-05-07,4032,large,C 후보는 있는데 전부 오답(오독)
000211,2026-02-12,,YYYY.MM.DD,2026-06-02,YYYY,p2,True,False,1,1,2026-02-12,2026-06-02,YYYY,961240  || 1912322 ||  70 || 3.70 || 00400 AM C4. 020M || 961240 || 19:2372 DUET || .700 3 700 || 0040 SAAA7R 14. .11200M || 961240 || 2022022 7 || 8 700 3.700 || 040A 44501 C M0 || 961240 NIN || 19123-2 || 3.70 || Ron SAMS M2M M. || 961240 || 2026 .02.121 || WE || L 3.700 || 1010400 M.M2A || AAIS,4.6,False,월/일틀림,000211.jpg,2026-06-02,4032,large,B 1패스엔 있었는데 2패스가 지움
000216,2026-03-16,,YYYY.MM.DD,2026-03-01,YYYY,p1@640,False,False,1,1,2026-03-01,2026-03-01,YYYY,  20 20 20 20 20 20 20 20 2 || 2026. 03. 1 6 || 801065002990,0.8,False,일만틀림,000216.jpg,2026-03-01,4032,large,C 후보는 있는데 전부 오답(오독)
000229,2025-10-28,,YYYY.MM.DD,2022-10-11,CMP6_YMD,erode2/p1@640,False,False,1,1,2022-10-11,2022-10-11,CMP6_YMD,ZARELLA || Denmark 287X1 || YOZZRELLA Fresh  9100   887  Mini || Milky Flavour || 1256 THE K-MILK 24884829 22101 || ZZARELLA ||  || MOZARLLA Fresh 10  Denmark  87  in 2 287X/ Mini || Milky Flavour || 1256 28N8 K-MILK F 2E 1210 || ZARELLA ||  || MOZARELA Firesh  Denmark  712  in  .287X1 Mini || Milky,4.5,False,전부틀림,000229.jpg,2022-10-11,4032,large,C 후보는 있는데 전부 오답(오독)
000231,2028-05-27,,YYYY.MM.DD,2025-01-01,SP_DMY,p2,False,False,1,1,2025-01-01,2025-01-01,SP_DMY,SAUS || DEX J x  || 80 2080 ||  x  : 25E28A || 18718 || 17 x     x  || 80 2080 ||  x1 1  25E281 || 1187161 ||  7x1 17x || 80 2080,2.8,False,전부틀림,000231.jpg,2025-01-01,4032,large,C 후보는 있는데 전부 오답(오독)
000232,2027-11-26,e,YYYY.MM.DD,NONE,,,False,False,0,0,,,, || PP2 || TOTAL HIC 7 TOTAI ||   || /  HIC 7 || P1P2: || TOTAL ||    || 7 07 DICI 7 ||  2 || TOTAL || 7   || HEHE:4 || 7P2  || TOTAL TOTA ||   || HIC || HIH: || P2 || TOTAL HIC 7 TOTAL ||   || 1 || TOTAL TOTAL ||   || HICI || TOTAL IC 7 TOTAL ||   ||   || MXW:59A || A7SAPL || TOTAL EICI 7 TOTAI || ,9.6,False,NONE,000232.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000233,2028-01-13,,YYYYMMDD,2021-01-22,CMP6_YMD,erode2/p1@1024,False,False,1,1,2021-01-22,2021-01-22,CMP6_YMD,27 || 202801 ||  2719 53729O7 O5O OO PERIOE || I 2028011 P2 B5D ||  2  42  10 PERIOE ||  202801 1 P2 BSD || S2R  || B5/ || 202801 || I 21o122 202801 P2 B5D PERIOE || S,4.4,False,전부틀림,000233.jpg,2021-01-22,4032,large,C 후보는 있는데 전부 오답(오독)
000234,2026-10-27,2,YYMMDD,2027-10-26,CMP6_DMY,p2,False,False,2,2,2025-05-09;2027-10-26,2025-05-09;2027-10-26,CMP6_DMY,Dove || Dove || 037 090525 21:26 || R3 EXP 261027 ||  || L. || 8 || peptides,1.4,True,전부틀림,000234.jpg,2027-10-26,4032,large,C 후보는 있는데 전부 오답(오독)
000242,2026-05-21,2,YYYY.MM.DD,2025-09-22,YYYY,p2,False,False,1,1,2025-09-22,2025-09-22,YYYY,46 8 / 206 kcal X  3.58 23  s    2200 cal 2  . 1870 48 7  68 11  CH HI   18171 202.05.21 2025.09.22/15:10 HACCP 2 4 HACCP OIE   x   E,1.8,True,전부틀림,000242.jpg,2025-09-22,4032,large,C 후보는 있는데 전부 오답(오독)
000246,2026-02-04,2,YY.MM.DD,2025-09-05,YY,p2,True,False,2,2,2025-09-05;2026-02-04,2025-09-05,YY,DI HEIEF || 7212275 TEKE O1E1010 MELICH   OI  || 05:40A01F4 2602.04 25.09.05 11x1  EI,1.3,True,전부틀림,000246.jpg,2025-09-05,4032,large,B 1패스엔 있었는데 2패스가 지움
000255,2026-08-20,,YY.MM.DD,NONE-08-20,MMDD,erode3/p1@640,False,False,1,1,NONE-08-20,NONE-08-20,MMDD,H 2 || g 10 g 32 2.5  1 6 11g 11   6g 40     Z 75 kcal gx4  8 802259026501 || g 130  32.5 9x4s  2.5   175 kcal 6 119g 1   6g 40      802259026501  8  ... || 77-T || 102594 2.5 a 15 511 x 640    M120 988   880225902650 :  :.. || 77 X1 || g 130 g 32 2.5 g  175 6  1g 11   6gg 40     5 kcal gx4  8 08:14,5.9,False,연도만틀림,000255.jpg,NONE-08-20,4032,large,C 후보는 있는데 전부 오답(오독)
000263,2028-01-22,,YYYY.MM.DD,NONE,,,False,False,0,0,,,,FER || 7127 NO. E787 || O  || M bee . ODK || 1   :40 31 || oe || 7127 NO. E7 27 || O ||  E:40 02s 2 2208 E31 || DO || oer || 72 NO.   || O  || 7 7E:40 pee.  2aDET 31 || DOML || DO || 7127 NO. E707 || O  || 12:40 028 G1 920231 220T || ofef || 727 NO. E7107 || O || 028 220R || 2 8:40 920231 || Ia 7  |,11.1,False,NONE,000263.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000264,2026-06-06,,YY.MM.DD,NONE,,,False,False,0,0,,,,. || 26.06.067A119:37F2B || 26.06.0677A119:37F2B || 26.06.067119:37FB || 26.06.067119:37 F2B || 26.06.06777/19:37 F2B || 26.06.067119:37 F2B || 26.06.067/ 19:37 F2B || . || 26.06.067119:37F2B || 26.06.0677X119:37F2B || . || 26.06.0677X119:37F2B || 26.06.067X119:37F2B,7.7,False,NONE,000264.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000266,2025-12-04,b,YYYY.MM.DD,NONE,,,False,False,0,0,,,,KOFPICH POIZIO ||  18x11 || 271 M1/ P ||  || HACCP PTRR || 205:12.0476  || / 6   || HOFDIER || / || 2 P || M ||  || OEEPEIOI || HACCP || 205.12.0471 ||  6 4 0 || MOPDIEY || 1x1  ||  y || N ||  || OIOE || HACP || 205.12.047 || . || OFDICH 144 POIZIOL aE || H    ||  || ACCP PPER1 || 205:12.047H1 ||   ,10.2,False,NONE,000266.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000271,2026-03-24,,YYYY.MM.DD,2026-03-22,YYYY,p2,True,False,1,1,2026-03-24,2026-03-22,YYYY,G || N:A  0 ||  || HLES .CH5 8 0928 ||  :70 || E0199 ||     || L || 2026.03.24 7-2,1.1,False,일만틀림,000271.jpg,2026-03-22,4032,large,B 1패스엔 있었는데 2패스가 지움
000274,2026-03-02,2,YY.MM.DD,2025-09-03,YY,p2,True,False,2,2,2025-09-03;2026-03-02,2025-09-03,YY, || ABLCC. R || W  WLI  4g 235 kcal 294. || g 8  M9260 g 0      26.03.02 x  A5 25.09.03 F2 20:11 ||   Mall,1.7,True,전부틀림,000274.jpg,2025-09-03,4032,large,B 1패스엔 있었는데 2패스가 지움
000294,2026-09-08,2,YYYY.MM.DD,2026-09-09,DMY4,p2,True,True,3,9,2025-09-09;2026-09-08;2026-09-09,2025-09-09;2026-09-08;2026-09-09,DMY4;YYYY,4 || HEOIH: HI71:  8808 003 F  82   0 E   5999458473 2025.09.09 2026.09.08 08:54  L  196  0g   00 RIILIO 0 mg 0   8 15  T 801007052854 Bud 50   g210 kcal TE XI WF4,6.2,True,일만틀림,000294.jpg,2026-09-09,4032,large,A 2패스 후보에 정답 있음(선택 실패)
000355,2028-06-17,,YYYY.MM.DD,2028-05-17,YY_LEAD0,p2,True,False,1,1,2028-06-17,2028-05-17,YY_LEAD0,O || 2028 06.171 || 14:5,1.6,False,월/일틀림,000355.jpg,2028-05-17,4032,large,B 1패스엔 있었는데 2패스가 지움
000360,2026-02-18,2,YY.MM.DD,NONE,,,False,False,0,0,,,,b 26: 00 19 Dhu ||  H 74 || 0 || 829 N221-35C 0 D LHIH AMU O  22 R   || D || THAHS 67 A || 26: 08: 19 DH ||  ZHAa74 WI7IE 3 || E4 || 730fI . ||  7 N135 BEHHO LHITITHA  ME  20040548 2 I   || IOT 1 || TA DATON B || RIOHOI CHAHH T || 26. . 15 M  Dh ||  21 E  || 04 || 2 o  4. || 3 7 221-35 C H  LHITH Mu,13.9,True,NONE,000360.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000361,2026-12-19,,YYYY.MM.DD,2026-12-12,CMP,p2,True,False,1,1,2026-12-19,2026-12-12,CMP,KHT ||  ||  H2 1711 2026 15  2 ||  50210 || 2 2 J2 A 700 || A || Ya 20 || 3296 Z2 198405305114    HEHION || AH || H   || 111 : .. 2. ||  . ||  15021  || T2 5  1 70201 A ||  || 6 || M || 3296 MOEN  19840533005114  141  CHOI || o1 ||  ||  Ho   || 211 .. ...   ||   || I ||   N  70O M ||  || 6710 || D |,6.3,False,일만틀림,000361.jpg,2026-12-12,4032,large,B 1패스엔 있었는데 2패스가 지움
000370,2026-09-02,,YYYY.MM.DD,2025-09-02,YYYY,p2,False,False,1,1,2021-05-09,2025-09-02,YYYY,12 844 || TSASET || EAHNENO  F12503 0 201247 10.71. 1 20  N X02    3   209 F70x 2026 93.9 69249058 OTHER OOH 41880 9g 275 kcal  3.4g 0 mg 20 EH6  ECHAT O  3x  0   65 g 0 mg 214 20  6  || NS || 01991  .A  AHNN 1399 ZHA  027 X10X   E717 202 02 10H711H0      2021 5 09.0 T65L OOgE O mg EH6  2A  3.4 9 EZ,5.8,False,연도만틀림,000370.jpg,2025-09-02,4032,large,C 후보는 있는데 전부 오답(오독)
000373,2026-09-18,,YYYY.MM.DD,NONE,,,False,False,0,0,,,, || 27 || 37kcal oo 82t60g ESOL. LE1 360 mg 145g 10 mg 4888 17  0 68  14  17  3  X  5.1g LISUS EH2.8g E Og x 3.1g 21  9  5  || 8809847 090135 IY 3925- 971 18 HACCP OTHER B ||  || 443248 || 337 kcal L60g ooy OL 10 mg LE1 360 mg 45g LHO 17g 708 17  3  LHO  x 4 5.1g EH2.8g EOg  3.1g 7o 1  21  9  5  || ,19.6,False,NONE,000373.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000384,2026-09-08,2,YYYY.MM.DD,2026-07-08,YYYY,p2,False,False,1,1,2026-07-08,2026-07-08,YYYY,D || BRONOIR AUD 026.07.08JX0 3,1.2,True,월/일틀림,000384.jpg,2026-07-08,4080,large,C 후보는 있는데 전부 오답(오독)
000386,2026-06-10,2,YYYY.MM.DD,2025-06-11,YYYY,p2,True,False,3,3,2025-06-11;2026-06-10;2026-11-06,2025-06-11,YYYY,AFIS || MEIOSE || M3 XTOE SE || 0 || 88232023 458848713 || 8.98.4417 || 398 || B 117 2025.06.11 2026.06.10 01:36 A02,2.1,True,전부틀림,000386.jpg,2025-06-11,4080,large,B 1패스엔 있었는데 2패스가 지움
000390,2026-05-19,,YYYY.MM.DD,2021-03-23,CMP,erode2/p1@1024,False,False,1,1,2021-03-23,2021-03-23,CMP,647 || 2496.5  714 458  .453 98802 || Tel091611-3082 9595 || XARMS7 || ANDIE W51707X || A || 4 || 2025.19. 08 || 647 99HM || X20 N88 || 07  15 ON / 345 Tel 031 611-3592 X:PET 22 6 100  45  200g 694kca:2021032318512 98.5 9   || 4 || 019. OET || 547 OOFA || M ||   6ON   3 Tel 031 611-3592HET 1 6  100 ,7.7,False,전부틀림,000390.jpg,2021-03-23,4080,large,C 후보는 있는데 전부 오답(오독)
000405,2027-10-15,,YYYY.MM.DD,2020-07-01,SP_DMY,dilate2/p1@1024,False,False,1,1,2020-07-01,2020-07-01,SP_DMY,R || H1 || A FII || OTTGI HASH || 920 || 7 0 200760470 ||  410730 ||  || 2127 || 828985 || 012t012 32 4248 042884 2.M998712 || OKitchen 29277  ottogiokitchen.co kr  || 20010450552187 || SE || 4 ROHE 2 2 0152 49  x  4  A 7 || A || 080024-211  ||  HACCP || R || SACRI CKTIWANeSS ||  FOIIOA S:39 3F16K |,31.6,False,전부틀림,000405.jpg,2020-07-01,4080,large,C 후보는 있는데 전부 오답(오독)
000406,2026-08-27,2,YYYY.MM.DD,NONE,,,False,False,0,0,,,,B ||  7 mg/L  Za Ca 2.-81 LE INa 3.9 4.9 UEK AM7 748M 5.0 6.8 4 0.0 0.1 || 68:010 || IPrL || 08. 2 || AAC || 782E || a c ||  7E2 mg/L  Za Ca  21.1-2 3.9 4.9 4E6 Na  ZSIK  17 74Mg 5.0 6.8 0.0 0.1 A || :500 mL || 0S. 20 || eAO ||  || ZANC ||  m/ a 21.1-28 3.9 4.9 4E6Na ZIE K 1mM7 746 5.0 68 000.1 4 ||,13.2,True,NONE,000406.jpg,NONE,4080,large,D 후보 없음(미검출/전부 미인식)
000415,2026-05-27,,YYYY.MM.DD,NONE,,,False,False,0,0,,,,8 ||    Aac 2  0014H222 P || 3a8  48860g/15kcal 880930 ||   EH OTHER VileR || 8 ||  255 004H2 || OO 48260g/15kaal || L3M OTHER Wi || 8 ||  36 0404H222 || O  482 60g/15kal ||  OTHER  ||   || A N TA 27  4014H247  || gggs 848860g/15kca 1 ||   EEM OTHER v || 8 ||  243 404H27 || a || go 4860g/15kcal || O,13.1,False,NONE,000415.jpg,NONE,4080,large,D 후보 없음(미검출/전부 미인식)
000416,2026-04-07,,YYYY.MM.DD,2026-07-01,DMY4,p1@640,False,False,1,1,2026-07-01,2026-07-01,DMY4,2E 01997 GO   28BOrR  1 7  2026 || ane0n ,1.1,False,월/일틀림,000416.jpg,2026-07-01,4080,large,C 후보는 있는데 전부 오답(오독)
